"","long","lat","order","hole","piece","group","id","ZCTA5CE10","AFFGEOID10","GEOID10","ALAND10","AWATER10","region","value","ZCTA","X","Neighborhood","Borough","COVID_CASE_COUNT","COVID_CASE_RATE","POP_DENOMINATOR","COVID_DEATH_COUNT","COVID_DEATH_RATE","PERCENT_POSITIVE","total_population","percent_female","percent_unemployed","median_income","poverty_rate","percent_uninsured","percent_public_health_insurance","percent_private_health_insurance","home_ownership","renter_occupied","single_mom","single_dad","home_median_value","high_school_completion","college_graduates","percent_with_Internet","percent_white","median_age","percent_black","percent_hispanic_latino","percent_receiving_public_assistance","percent_in_mgmt_art_sci","crowding","log_case_rate"
"1",-73.96238,40.609986,13201,FALSE,"1","1009.1","1009","11229","8600000US11229","11229",5591103,147610,"11229","[52,199 to 62,207)","11229",116,"Coney Island - Sheepshead Bay","Brooklyn",1482,1745.39,84909.16,127,149.57,32.89,83615,51.8,6.2,60873,11.7,6.8,43.6,58.3,47.2,52.8,5.2,1.2,608400,84.8,37.6,81.9,64.6,40.8,6,10.8,3.9,40.3,8.8,7.46473330536709
"2",-73.952577,40.611037,13202,FALSE,"1","1009.1","1009","11229","8600000US11229","11229",5591103,147610,"11229","[52,199 to 62,207)","11229",116,"Coney Island - Sheepshead Bay","Brooklyn",1482,1745.39,84909.16,127,149.57,32.89,83615,51.8,6.2,60873,11.7,6.8,43.6,58.3,47.2,52.8,5.2,1.2,608400,84.8,37.6,81.9,64.6,40.8,6,10.8,3.9,40.3,8.8,7.46473330536709
"3",-73.950706,40.61125,13203,FALSE,"1","1009.1","1009","11229","8600000US11229","11229",5591103,147610,"11229","[52,199 to 62,207)","11229",116,"Coney Island - Sheepshead Bay","Brooklyn",1482,1745.39,84909.16,127,149.57,32.89,83615,51.8,6.2,60873,11.7,6.8,43.6,58.3,47.2,52.8,5.2,1.2,608400,84.8,37.6,81.9,64.6,40.8,6,10.8,3.9,40.3,8.8,7.46473330536709
"4",-73.949306,40.614031,13204,FALSE,"1","1009.1","1009","11229","8600000US11229","11229",5591103,147610,"11229","[52,199 to 62,207)","11229",116,"Coney Island - Sheepshead Bay","Brooklyn",1482,1745.39,84909.16,127,149.57,32.89,83615,51.8,6.2,60873,11.7,6.8,43.6,58.3,47.2,52.8,5.2,1.2,608400,84.8,37.6,81.9,64.6,40.8,6,10.8,3.9,40.3,8.8,7.46473330536709
"5",-73.949119,40.613053,13205,FALSE,"1","1009.1","1009","11229","8600000US11229","11229",5591103,147610,"11229","[52,199 to 62,207)","11229",116,"Coney Island - Sheepshead Bay","Brooklyn",1482,1745.39,84909.16,127,149.57,32.89,83615,51.8,6.2,60873,11.7,6.8,43.6,58.3,47.2,52.8,5.2,1.2,608400,84.8,37.6,81.9,64.6,40.8,6,10.8,3.9,40.3,8.8,7.46473330536709
"6",-73.948335,40.61358,13206,FALSE,"1","1009.1","1009","11229","8600000US11229","11229",5591103,147610,"11229","[52,199 to 62,207)","11229",116,"Coney Island - Sheepshead Bay","Brooklyn",1482,1745.39,84909.16,127,149.57,32.89,83615,51.8,6.2,60873,11.7,6.8,43.6,58.3,47.2,52.8,5.2,1.2,608400,84.8,37.6,81.9,64.6,40.8,6,10.8,3.9,40.3,8.8,7.46473330536709
"7",-73.948345,40.614136,13207,FALSE,"1","1009.1","1009","11229","8600000US11229","11229",5591103,147610,"11229","[52,199 to 62,207)","11229",116,"Coney Island - Sheepshead Bay","Brooklyn",1482,1745.39,84909.16,127,149.57,32.89,83615,51.8,6.2,60873,11.7,6.8,43.6,58.3,47.2,52.8,5.2,1.2,608400,84.8,37.6,81.9,64.6,40.8,6,10.8,3.9,40.3,8.8,7.46473330536709
"8",-73.946574,40.614789,13208,FALSE,"1","1009.1","1009","11229","8600000US11229","11229",5591103,147610,"11229","[52,199 to 62,207)","11229",116,"Coney Island - Sheepshead Bay","Brooklyn",1482,1745.39,84909.16,127,149.57,32.89,83615,51.8,6.2,60873,11.7,6.8,43.6,58.3,47.2,52.8,5.2,1.2,608400,84.8,37.6,81.9,64.6,40.8,6,10.8,3.9,40.3,8.8,7.46473330536709
"9",-73.946993,40.617001,13209,FALSE,"1","1009.1","1009","11229","8600000US11229","11229",5591103,147610,"11229","[52,199 to 62,207)","11229",116,"Coney Island - Sheepshead Bay","Brooklyn",1482,1745.39,84909.16,127,149.57,32.89,83615,51.8,6.2,60873,11.7,6.8,43.6,58.3,47.2,52.8,5.2,1.2,608400,84.8,37.6,81.9,64.6,40.8,6,10.8,3.9,40.3,8.8,7.46473330536709
"10",-73.946067,40.617104,13210,FALSE,"1","1009.1","1009","11229","8600000US11229","11229",5591103,147610,"11229","[52,199 to 62,207)","11229",116,"Coney Island - Sheepshead Bay","Brooklyn",1482,1745.39,84909.16,127,149.57,32.89,83615,51.8,6.2,60873,11.7,6.8,43.6,58.3,47.2,52.8,5.2,1.2,608400,84.8,37.6,81.9,64.6,40.8,6,10.8,3.9,40.3,8.8,7.46473330536709
"11",-73.945737,40.615363,13211,FALSE,"1","1009.1","1009","11229","8600000US11229","11229",5591103,147610,"11229","[52,199 to 62,207)","11229",116,"Coney Island - Sheepshead Bay","Brooklyn",1482,1745.39,84909.16,127,149.57,32.89,83615,51.8,6.2,60873,11.7,6.8,43.6,58.3,47.2,52.8,5.2,1.2,608400,84.8,37.6,81.9,64.6,40.8,6,10.8,3.9,40.3,8.8,7.46473330536709
"12",-73.944827,40.616046,13212,FALSE,"1","1009.1","1009","11229","8600000US11229","11229",5591103,147610,"11229","[52,199 to 62,207)","11229",116,"Coney Island - Sheepshead Bay","Brooklyn",1482,1745.39,84909.16,127,149.57,32.89,83615,51.8,6.2,60873,11.7,6.8,43.6,58.3,47.2,52.8,5.2,1.2,608400,84.8,37.6,81.9,64.6,40.8,6,10.8,3.9,40.3,8.8,7.46473330536709
