"","MODZCTA","Neighborhood","Borough","COVID_CASE_COUNT","COVID_CASE_RATE","POP_DENOMINATOR","COVID_DEATH_COUNT","COVID_DEATH_RATE","PERCENT_POSITIVE","ZCTA","total_population","percent_female","percent_unemployed","median_income","poverty_rate","percent_uninsured","percent_public_health_insurance","percent_private_health_insurance","home_ownership","renter_occupied","single_mom","single_dad","home_median_value","high_school_completion","college_graduates","percent_with_Internet","percent_white","median_age","percent_black","percent_hispanic_latino","percent_receiving_public_assistance","percent_in_mgmt_art_sci","percent_spending_35_percent_rent","median_rent","percent_asian","percent_non_citizens","percent_with_disability","crowding"
"1","10001","Chelsea/NoMad/West Chelsea","Manhattan",366,1553.28,23563.03,21,89.12,16.1,"10001",22924,49.1,4.5,88526,10.6,4.3,25.4,79,26.2,73.8,1.7,1,343400,91.8,68,88.3,62.9,36.7,6.2,14.2,3.1,64.6,35.9,2065,25.2,47.6,8.2,3.09999999999999
"2","10002","Chinatown/Lower East Side","Manhattan",1049,1366.68,76755.41,147,191.52,21.83,"10002",74993,51.7,7,35859,24.9,5.9,53.1,46.8,13.3,86.7,5.6,1.3,665200,66,34,56,32.2,43.6,8.4,27.2,6.3,44.5,40.1,963,41.5,39.5,15.2,8.3
"3","10003","East Village/Gramercy/Greenwich Village","Manhattan",447,830.83,53801.62,33,61.34,12.89,"10003",54682,49.7,5.7,112131,3.1,3.9,17.3,86,32.9,67.1,1.5,0.4,1001200,96.1,80.2,86.9,75.9,32.3,5.8,8.2,0.5,71.2,34.1,2298,13.5,62.5,6.9,3.5
"4","10004","Financial District","Manhattan",31,849.17,3650.61,1,27.39,12.6,"10004",3028,58.2,4.5,157645,1,4.9,7.7,91.6,38.3,61.7,2.5,0.5,1640600,98.9,90.4,98.6,62.8,37.1,1.7,3.7,0,76.2,28.5,3235,30.4,67.7,5.2,3.90000000000001
"5","10005","Financial District","Manhattan",61,726.53,8396.11,2,23.82,11.34,"10005",8831,54.7,3.1,173333,0.4,2.7,5.5,94.4,19.6,80.4,2.8,1,1415400,99.2,88.4,98.8,73.4,30.1,2.5,6.9,0.2,71.3,26.2,3226,17,62.7,1.6,13.3
"6","10006","Financial District","Manhattan",24,694.09,3457.77,0,0,9.76,"10006",3454,52.7,0.6,176250,2.7,2.1,1.2,97.6,17.1,82.9,1.7,0.8,1140400,99.4,92.8,92.6,69.8,31.8,1,12,0,79,26.1,3229,19.9,48.9,0,10.9
"7","10007","TriBeCa","Manhattan",58,703.05,8249.73,3,36.36,9.98,"10007",7023,41.4,2.8,246813,0.8,0.7,8.4,93.9,35.4,64.6,0.8,0.6,2000001,92.6,80,97.3,77.2,36,4.7,8.3,0.4,73.4,20.5,3394,11.8,57.6,1.9,6.3
"8","10009","Alphabet City/East Village/Stuyvesant Town-Cooper Village","Manhattan",689,1172.81,58747.99,65,110.64,15.72,"10009",57925,54.2,4,61548,19.3,5.6,35.7,65.9,6.3,93.7,5,0.8,608300,88.2,59.5,67.6,61.8,37.1,9.4,24.8,4.1,62.3,35.4,1642,13,47.6,12.5,4.40000000000001
"9","10010","Flatiron/Gramercy/Kips Bay","Manhattan",267,824.79,32371.86,20,61.78,10.25,"10010",33730,48.5,4,117923,7.8,3.6,20.7,84.5,28.4,71.6,0.7,0.6,788200,96.1,78.4,88.2,73.2,34.7,5.3,11,2.4,72.4,34.1,2590,17.4,51.8,7,3.40000000000001
"10","10011","Chelsea","Manhattan",519,1048.47,49500.52,37,74.75,14.37,"10011",50472,48.4,3.7,128613,5.3,3.7,24.5,82.9,37.6,62.4,2.2,0.8,964200,95.6,78.8,91.2,79.9,40.6,5.6,11.3,2,71.7,30.9,2115,9.2,53.4,8.9,4.40000000000001
"11","10012","Greenwich Village/SoHo","Manhattan",162,675.53,23981.2,9,37.53,12.34,"10012",23411,50.5,3.4,109037,5.2,5.1,17.8,84.3,18,82,1.8,1.1,1669400,94.9,80.5,87.6,74.4,33.9,2.8,6.4,0.5,73,32.9,2280,17.3,56.8,5.9,7.90000000000001
"12","10013","Hudson Square/Little Italy/SoHo/TriBeCa","Manhattan",259,892.15,29031.09,20,68.89,13.85,"10013",28709,51.1,3.5,105442,10,5.1,28.4,71.4,26.2,73.8,3,0.8,2000001,79,61.6,79.1,55.6,38,4.4,6,1.7,60,37.9,1571,33.3,45.8,8.3,9.8
"13","10014","Hudson Square/Meatpacking District/West Village","Manhattan",298,959.95,31043.16,24,77.31,13.44,"10014",30738,49.5,5.2,126601,3.9,3.5,20,84.8,32.4,67.6,1.2,0.4,1089100,98.9,84.5,93.3,88.9,38.3,1.1,6.7,1,74.8,33.4,2313,5.7,61.5,6.9,2.09999999999999
"14","10016","Kips Bay/Murray Hill/NoMad","Manhattan",683,1300.35,52524.35,48,91.39,14.11,"10016",51057,52.7,3.7,117004,3.9,3.5,18,86.8,28.8,71.2,1,0.2,775800,96.1,80.5,89.2,71.9,33.5,3.8,6.9,1.1,74.2,36.2,2550,19.3,48.6,7.2,3.7
"15","10017","East Midtown/Murray Hill","Manhattan",143,886.7,16127.22,6,37.2,11.68,"10017",15801,54.9,2.9,127506,2.3,3.9,26.1,85.7,43.6,56.4,1.7,0.5,637300,96.9,82.4,92.3,73.9,39.7,2.3,5.9,0.5,74.4,34.1,2309,21.2,47.6,6.9,5.09999999999999
"16","10018","Hell's Kitchen/Midtown Manhattan","Manhattan",203,2129.79,9531.44,3,31.47,17.29,"10018",9687,46.9,3.7,108914,4.3,6,15.1,83.8,9.1,90.9,2.1,0.1,743600,91.2,69,92.6,59.8,32.8,4.8,15.2,2.2,64,36.5,3163,29.9,58.2,6.6,6.59999999999999
"17","10019","Hell's Kitchen/Midtown Manhattan","Manhattan",595,1464.38,40631.45,43,105.83,15.58,"10019",43703,48.7,5.3,98833,6.4,4.5,25.5,78.9,19.9,80.1,1.8,0.9,917700,95.4,72.4,87.1,67.9,39.5,5.8,16.8,2.4,70.7,33.4,2139,17.4,51.5,9.4,5.40000000000001
"18","10021","Lenox Hill/Upper East Side","Manhattan",561,1269.93,44175.61,62,140.35,13.78,"10021",46215,54.5,2.1,118289,1.7,4.1,24.4,82.7,45,55,0.9,0.9,1238500,99,80.7,92.8,82.3,41,0.9,7.9,0.8,70.8,32.4,2149,9.4,49.8,8.4,3.2
"19","10022","East Midtown","Manhattan",336,1107.64,30334.8,26,85.71,12.67,"10022",31125,54.7,2.5,135363,1.1,1.4,28.3,85.6,52.4,47.6,0.9,0.4,928400,98.1,82.9,91.8,83.6,47.5,1.4,5.4,0.3,74.7,34.8,2514,12.2,42,8.3,2
"20","10023","Lincoln Square","Manhattan",557,924.1,60274.81,52,86.27,12.5,"10023",62435,56.5,4.5,130452,5.2,2.9,26.7,85.5,41.8,58.2,2,0.5,1124500,97.3,81.1,90.8,79.8,43.3,4.2,10.5,0.8,72.5,28.2,2321,10.6,52.6,9,3.2
"21","10024","Upper West Side","Manhattan",688,1199.91,57337.68,67,116.85,14.97,"10024",59001,54.9,2.6,131668,3.4,3.7,23.8,84.6,39.5,60.5,2.5,0.3,1540500,95.5,80.7,90.5,83.1,43.1,3.9,10.9,0.8,75.3,29.2,2174,7.2,48.5,8.4,2.3
"22","10025","Manhattan Valley/Morningside Heights/Upper West Side","Manhattan",1315,1424.19,92333.47,161,174.37,16.88,"10025",92805,54.9,6.7,85930,9.8,4.4,32.4,76.9,28.7,71.3,4.3,0.4,1021400,90,66.7,84.1,64.6,41.3,12.6,23.4,2.5,67.1,38.4,1531,8.9,49.5,11.2,3.59999999999999
"23","10026","Central Harlem (South)","Manhattan",634,1624.89,39018.03,37,94.83,21.09,"10026",39363,54,7,58884,22.7,5.9,42.6,56.4,15.2,84.8,9.4,2.2,835000,82.4,44.4,79,26.4,35.1,53.4,21.3,3.5,51.4,34.9,1163,5.9,47.6,10.3,4.40000000000001
"24","10027","Central Harlem (South)/Morningside Heights/West Harlem","Manhattan",1025,1610.85,63631.04,101,158.73,22.39,"10027",64548,53.8,5.6,46113,23.1,7.3,37.3,60.4,13.6,86.4,10.3,1.7,689200,84.7,47.9,75,30.5,31,39.5,25.4,4.1,52.9,43.5,1193,9.5,59,9.6,5.40000000000001
"25","10028","Upper East Side/Yorkville","Manhattan",467,950.05,49155.08,29,59,13.29,"10028",47793,57.1,2.6,125140,1.1,3.1,21,87.5,34.5,65.5,1,0,1218300,98.1,83.2,93.7,86.2,38.9,1.3,7.4,0.7,73.5,29.9,2329,9.6,53.1,6.1,3.8
"26","10029","East Harlem","Manhattan",1804,2288.13,78841.52,196,248.6,25.22,"10029",79597,54.3,10.8,34016,29.7,7.5,55.4,46,6.8,93.2,11.9,1.8,693200,74.3,31.7,73.6,33.8,35.1,31,47.9,6.9,40.8,38.9,923,9.5,51.2,15.4,7.7
"27","10030","Central Harlem (North)","Manhattan",496,1691.57,29321.91,48,163.7,23.05,"10030",29882,55.7,12.4,37232,23.3,8.3,49.3,48.6,11.5,88.5,11.4,1.7,606500,77.8,30.3,75.3,16.9,36.1,63.1,25.6,6.1,34.9,41.1,988,2.1,50.5,15.1,7.8
"28","10031","Hamilton Heights/West Harlem","Manhattan",1304,2153.35,60556.93,119,196.51,24.38,"10031",60254,49.3,6.9,49891,20,12.2,44.3,47.6,12.5,87.5,6.4,2.3,417000,74.6,35.9,80.5,29.7,34.2,29.8,51.4,3.4,37.2,44.4,1365,3.9,50.6,11.1,8.59999999999999
"29","10032","Washington Heights (South)","Manhattan",1502,2442.57,61492.57,160,260.19,24.98,"10032",64264,50,8.5,50391,17.5,13.4,48.3,45.1,8.2,91.8,6.1,1.6,499600,69.9,31.1,75.9,29.8,34.7,19.3,66.3,6.4,32,42.4,1219,4.7,51.5,14.3,11.9
"30","10033","Washington Heights (North)/Washington Heights (South)","Manhattan",1340,2263.11,59210.43,114,192.53,24.53,"10033",59607,49.3,9.6,58614,16.7,8.2,47.1,50.2,10.5,89.5,7.5,2.5,495800,71.6,36.3,80.6,40.5,35.8,10.4,68.5,3.8,39.6,42.1,1412,2.2,47.4,13.6,11.9
"31","10034","Inwood/Washington Heights (North)","Manhattan",703,1632.09,43073.65,69,160.19,21.49,"10034",42910,52.5,7.8,54716,17.2,9.5,47.2,49.8,9.3,90.7,10.8,1.3,342600,74.6,34,80.5,38.4,36.4,11.6,69.7,5.5,37.9,38.7,1330,3.1,49.2,11.7,14.4
"32","10035","East Harlem","Manhattan",942,2736.25,34426.65,113,328.23,25.21,"10035",35743,50.5,7.7,30081,29,11.2,54,39.6,8.3,91.7,11.3,1.5,592800,70.1,27.7,63.2,20.3,36.3,40.8,44.6,7.7,33.9,40.4,866,4.9,60.7,16.6,7.90000000000001
"33","10036","Hell's Kitchen/Midtown Manhattan","Manhattan",414,1579.47,26211.25,35,133.53,16.49,"10036",27428,45.6,4.8,91936,7.3,5.9,25.1,75.5,9.7,90.3,2.4,0.4,976900,92.5,72.2,85.1,63.1,36.7,7.2,21.5,3.2,68.7,36.4,2151,19,64.4,11.3,3.5
"34","10037","Central Harlem (North)/East Harlem","Manhattan",538,2605.37,20649.62,66,319.62,20.93,"10037",21139,55.5,12.6,45041,23.6,6.8,48.7,54.1,5,95,11.9,0.5,422100,84.7,38.4,77.2,10.8,35.3,71.9,21.4,2.8,44.5,38,1153,2.5,53.1,11.1,7
"35","10038","Chinatown/Financial District","Manhattan",248,1124.82,22047.96,27,122.46,17.13,"10038",22800,53.1,5.7,86058,16.1,4.5,31.5,70.5,26.8,73.2,2,0.5,787400,81.2,57.8,79.8,51.7,36.2,9.3,14.1,3.3,65.4,28.5,2396,31.8,42.5,10,7.3
"36","10039","Central Harlem (North)/Washington Heights (South)","Manhattan",515,1946.52,26457.52,57,215.44,24.09,"10039",27726,57.4,13.5,39653,22.6,8.9,47.9,49.1,13.5,86.5,16.6,1.2,458900,80.9,30.4,75.2,13.1,33.7,61.9,33.8,7,37.5,38.3,931,1.6,47.5,12.7,6.5
"37","10040","Washington Heights (North)","Manhattan",1103,2461.6,44808.28,109,243.26,26.12,"10040",44571,53.4,10.5,47137,19,7.8,50.4,48,10.4,89.6,8,1.1,394500,73.3,34.7,81.7,36.1,37.4,9.8,69.5,4.1,36.8,49.5,1362,3,47.6,12,11.9
"38","10044","Roosevelt Island","Manhattan",234,1999.95,11700.29,33,282.04,24.1,"10044",11682,52.9,6.2,100441,3.9,6.6,23,75.5,19.7,80.3,1.3,0.1,692000,90.7,62.8,87.7,45.5,42.2,12.2,13.3,3.6,72.1,35.4,2520,33.9,73.9,9.2,10.1
"39","10065","Lenox Hill/Upper East Side","Manhattan",327,1125.2,29061.49,26,89.47,11.98,"10065",28109,56.4,2.6,127375,3,2.7,24.2,86.4,36.1,63.9,1.9,0.6,1548500,98.6,82.2,89.7,86.4,39.8,2.2,6.6,0.4,73,33.7,2472,9.5,52.1,6.8,4.2
"40","10069","Lincoln Square","Manhattan",54,851.99,6338.13,2,31.56,12.74,"10069",5085,53.7,3.3,110625,7.3,1.8,12.4,93.7,26.4,73.6,4.8,1.8,2000001,98.6,87.6,94.1,62,36,2.9,1.1,1.1,69.1,36.4,3123,30.6,78.5,3.6,7.7
"41","10075","Lenox Hill/Upper East Side","Manhattan",425,1798.25,23634.14,46,194.63,17.47,"10075",21556,53.2,0.9,137146,4.5,2.1,23.5,89.9,44.7,55.3,1,2.7,1050600,98,76.8,91.5,85.3,45,3.1,14.2,0.4,68.3,36.5,2280,4.9,41.7,8,6.09999999999999
"42","10128","Upper East Side/Yorkville","Manhattan",629,1025.23,61351.93,36,58.68,13.34,"10128",59256,57.2,3.8,114010,3.4,3.1,24.7,84,33,67,3,0.5,1022400,97.1,82,88.4,79.6,39.5,3.7,12.3,1.5,72.3,32.4,2198,9.9,48.1,8.1,3.90000000000001
"43","10280","Battery Park City","Manhattan",51,530.22,9618.7,0,0,10.81,"10280",9384,52.3,3.4,169844,1.1,3.8,12.8,89.7,27,73,2.5,0.4,910500,98.7,88.4,97.2,78.4,38.1,2,8.8,0,77.5,24.3,3332,15.7,52.9,3.5,8.40000000000001
"44","10282","Battery Park City","Manhattan",70,1269.16,5515.44,15,271.96,20.41,"10282",5593,51.6,3.1,250001,4.4,1.4,7.7,93.4,8.6,91.4,1.6,2.6,NA,97.8,83.8,98.1,74.3,35.3,1.1,7.6,0.9,75.1,16.4,3501,20.8,61.5,2.9,7.7
"45","10301","Silver Lake/St. George","Staten Island",1172,2958.58,39613.55,99,249.91,26.52,"10301",38733,52.4,5,55802,20.1,6.3,41.4,61.2,45.5,54.5,9.7,1.6,454600,86.1,37.2,76.2,57.5,38.2,25,24.8,6.6,42.6,46.3,1291,6.1,43.7,10.2,5.90000000000001
"46","10302","Elm Park","Staten Island",632,3366.36,18773.99,31,165.12,32.85,"10302",18204,48.8,4.2,64103,12.6,10.8,33.8,64.3,58.8,41.2,6.2,1.5,377500,83,24.3,72.1,62,34.9,20.6,41.1,6.7,29.9,57.7,1325,7.3,59.8,8.5,4.2
"47","10303","Graniteville/Mariner's Harbor/Port Ivory","Staten Island",863,3289.92,26231.66,42,160.11,30.32,"10303",25947,50.6,4.3,62558,25.1,8.1,39.8,58.6,60.7,39.3,14,2.1,333200,79.5,25.2,73.2,44,33.1,35.3,38.9,12,32.7,61.4,1009,8.1,46.7,9.2,10.2
