"","DATE","PERCENT_POSITIVE","TOTAL_DEATHS","variable","value"
"1",2020-03-03,"7%",NA,"TOTAL_TESTS",14
"2",2020-03-04,"16%",NA,"TOTAL_TESTS",32
"3",2020-03-05,"6%",NA,"TOTAL_TESTS",65
"4",2020-03-06,"9%",NA,"TOTAL_TESTS",85
"5",2020-03-07,"12%",NA,"TOTAL_TESTS",67
"6",2020-03-08,"19%",NA,"TOTAL_TESTS",109
"7",2020-03-09,"15%",NA,"TOTAL_TESTS",405
"8",2020-03-10,"16%",NA,"TOTAL_TESTS",467
"9",2020-03-11,"20%",1,"TOTAL_TESTS",810
"10",2020-03-12,"23%",NA,"TOTAL_TESTS",1606
"11",2020-03-13,"28%",NA,"TOTAL_TESTS",2201
"12",2020-03-14,"38%",3,"TOTAL_TESTS",1763
"13",2020-03-15,"44%",5,"TOTAL_TESTS",2397
"14",2020-03-16,"43%",9,"TOTAL_TESTS",5061
"15",2020-03-17,"44%",11,"TOTAL_TESTS",5707
"16",2020-03-18,"47%",24,"TOTAL_TESTS",6472
"17",2020-03-19,"48%",26,"TOTAL_TESTS",7923
"18",2020-03-20,"51%",49,"TOTAL_TESTS",8019
"19",2020-03-21,"55%",50,"TOTAL_TESTS",4937
"20",2020-03-22,"57%",53,"TOTAL_TESTS",4639
"21",2020-03-23,"63%",95,"TOTAL_TESTS",5968
"22",2020-03-24,"62%",106,"TOTAL_TESTS",7555
"23",2020-03-25,"63%",139,"TOTAL_TESTS",8013
"24",2020-03-26,"68%",227,"TOTAL_TESTS",7761
"25",2020-03-27,"67%",255,"TOTAL_TESTS",7897
"26",2020-03-28,"71%",320,"TOTAL_TESTS",5135
"27",2020-03-29,"70%",351,"TOTAL_TESTS",5302
"28",2020-03-30,"69%",409,"TOTAL_TESTS",9309
"29",2020-03-31,"67%",462,"TOTAL_TESTS",8569
"30",2020-04-01,"63%",535,"TOTAL_TESTS",9121
"31",2020-04-02,"60%",657,"TOTAL_TESTS",10226
"32",2020-04-03,"57%",657,"TOTAL_TESTS",10407
"33",2020-04-04,"59%",683,"TOTAL_TESTS",6895
"34",2020-04-05,"57%",746,"TOTAL_TESTS",7013
"35",2020-04-06,"56%",792,"TOTAL_TESTS",12101
"36",2020-04-07,"55%",806,"TOTAL_TESTS",11744
"37",2020-04-08,"53%",748,"TOTAL_TESTS",11461
"38",2020-04-09,"53%",734,"TOTAL_TESTS",10336
"39",2020-04-10,"55%",702,"TOTAL_TESTS",8934
"40",2020-04-11,"51%",701,"TOTAL_TESTS",7822
"41",2020-04-12,"48%",732,"TOTAL_TESTS",6800
"42",2020-04-13,"46%",736,"TOTAL_TESTS",8146
"43",2020-04-14,"42%",649,"TOTAL_TESTS",11294
"44",2020-04-15,"38%",544,"TOTAL_TESTS",11603
"45",2020-04-16,"35%",536,"TOTAL_TESTS",11311
"46",2020-04-17,"34%",460,"TOTAL_TESTS",12259
"47",2020-04-18,"33%",480,"TOTAL_TESTS",7784
"48",2020-04-19,"34%",468,"TOTAL_TESTS",8176
"49",2020-04-20,"32%",444,"TOTAL_TESTS",13929
"50",2020-04-21,"31%",399,"TOTAL_TESTS",11980
"51",2020-04-22,"30%",380,"TOTAL_TESTS",13971
"52",2020-04-23,"28%",388,"TOTAL_TESTS",12502
"53",2020-04-24,"27%",356,"TOTAL_TESTS",11956
"54",2020-04-25,"26%",297,"TOTAL_TESTS",7725
"55",2020-04-26,"23%",284,"TOTAL_TESTS",5721
"56",2020-04-27,"23%",304,"TOTAL_TESTS",13153
"57",2020-04-28,"23%",249,"TOTAL_TESTS",15276
"58",2020-04-29,"20%",268,"TOTAL_TESTS",15080
"59",2020-04-30,"19%",246,"TOTAL_TESTS",13852
"60",2020-05-01,"19%",244,"TOTAL_TESTS",13283
"61",2020-05-02,"19%",220,"TOTAL_TESTS",7660
"62",2020-05-03,"18%",201,"TOTAL_TESTS",6199
"63",2020-05-04,"15%",188,"TOTAL_TESTS",14632
"64",2020-05-05,"15%",165,"TOTAL_TESTS",14971
"65",2020-05-06,"14%",172,"TOTAL_TESTS",15323
"66",2020-05-07,"13%",152,"TOTAL_TESTS",14930
